id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0xff25f183891b27aca9adc6f6e51a27998851c649315524499c068fdc288c0879-143,143,11474820,0x4fedde33607cfda2c82a999accb427d1170987d9,950000,950000,delegationParametersUpdateds
0x368264778df4d05d7c153bc2cae315110fe19eabcdd092ae2789c53643b189cc-3,3,11474846,0x7b8f93130b7c610fb102f1e82e23ad978ed81702,1000000,1000000,delegationParametersUpdateds
0x23f76a8dcc384453d0806f98bad397583a84e9f572ef80e26336a24b2a45cefd-27,27,11474860,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,800000,800000,delegationParametersUpdateds
0xc74d2faf1e9b8d1547c014450f3f8c551cda797d93fc2ea658815dd297acd410-12,12,11474876,0x7b8f93130b7c610fb102f1e82e23ad978ed81702,200000,200000,delegationParametersUpdateds
0x182a96f556d4d78d0e24aa2e515c6d7ca89e9a161e8d83665b94555a9f54cfd7-148,148,11474879,0x45874192929530cd4e3dd0624df05bee3c13974f,10000,100000,delegationParametersUpdateds
0x02ff17e7262749ee80e929da56ded1d69a4a91ec24628437fe4810306580f2d7-198,198,11474964,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa,900000,800000,delegationParametersUpdateds
0xcb9dc36b2311043ee9d0e828ebcf0e8aead9144fe29a8a7c34fe6524f9492663-79,79,11475259,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,1000000,1000000,delegationParametersUpdateds
0x719575285252bb5ef3b441fd02540dabdcfed011aa2b404f0d4783b02cbcee2c-215,215,11475641,0x45874192929530cd4e3dd0624df05bee3c13974f,100000,100000,delegationParametersUpdateds
0x89da8160979947e2a6f96b589918f6a31eaa0f538ad3fa60eddb2f6c56d54567-324,324,11475754,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,99000,99000,delegationParametersUpdateds
0x2e349190ae177df9488ba235a24633a9888bb25a991a05f982f0e0d4db3ffdd7-25,25,11475882,0x7b8f93130b7c610fb102f1e82e23ad978ed81702,800000,800000,delegationParametersUpdateds
0x8dae4637753bd32887c8f899f18ed917d4fd47ec61666e0f0ea8f660a3149f3d-262,262,11475885,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,800000,800000,delegationParametersUpdateds
0x3565c181736164a21895bb2dad10e4eee9596a251e20be4f9c83347dfd882a8e-325,325,11476029,0x4fedde33607cfda2c82a999accb427d1170987d9,900000,740000,delegationParametersUpdateds
0x5924f8ad622d6fa4ebc01277d6d9bc2408dc8e7dcde88aa5d3db64d2d07aab91-176,176,11476547,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,1000000,1000000,delegationParametersUpdateds
0xc75a43a6a5b6ca7eb337b0611fab5fd667dc9c26cee1eb77490f8fa83b69313a-109,109,11476601,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,90000,80000,delegationParametersUpdateds
0xc07f4dc84dcf9d8bb1e944e9de91d691b9e16b209aab5ae5670e666a223e1fde-236,236,11476837,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,800000,800000,delegationParametersUpdateds
0x62631982d7f86aef4c414f0e2fa245c0a13ed1ca000b7e36af16a111040bd260-407,407,11477083,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,750000,750000,delegationParametersUpdateds
0x07c299b03bf95522b0cbe2aee41ef1ad40e87233f21fb954f03fb6db6d1ef09c-11,11,11477120,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,1000000,1000000,delegationParametersUpdateds
0x0fdc34a8e4b3635d19b997358fef352f9a5a0603909ad3faca542ae14215facb-111,111,11477181,0x8b7663dd451c951f39e541188d9f7d9419e94421,1000000,1000000,delegationParametersUpdateds
0xd6bb2effdb8c56f98a86af2eca42b0a07d1738f13f9d7a208223473ab2c43d59-157,157,11477203,0x8b7663dd451c951f39e541188d9f7d9419e94421,900000,900000,delegationParametersUpdateds
0x3dd17f08d03445780a521e5a244cb7dd7832329fce1457926ae7a5529fc81c48-242,242,11477215,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,1000000,1000000,delegationParametersUpdateds
0x2a33ee267321094775a4f20d5733ee8b05298caf562bd63cd87cad627d8afc77-120,120,11477275,0x50a786a68320fcfb276ef196dee6f4cdae53440e,1000000,1000000,delegationParametersUpdateds
0x58b099a81ee1bf8ea4a0394596e765a8f9742e3cef1a1a0d825cd35a4e37b654-72,72,11478003,0x6ac85b9d834b51b14a7b0ed849bb5199e04c05c5,1000000,1000000,delegationParametersUpdateds
0xce2dc976d44e165d2995c310f8b74529f4ad0a28eeb5c75a8ff5e459872d2793-187,187,11478084,0xbe9d7c691792937ca7e2535652886ff390cc5b86,80,80,delegationParametersUpdateds
0xfe141750dca58a06b41e00f4a3ceae6cdea3bf85fab02d6e353bd61abf4e147c-156,156,11478119,0xbe9d7c691792937ca7e2535652886ff390cc5b86,800000,800000,delegationParametersUpdateds
0x422f5e9e7d514ab9fb6ba1408a843f0c931e5f90369ba2c013c4684b7ae5c68a-84,84,11478280,0x45874192929530cd4e3dd0624df05bee3c13974f,1000000,1000000,delegationParametersUpdateds
0x9e67852c136de91115b9a521627c43161cc5cc9c517fc1770ac7ae1035d7c400-242,242,11478289,0x4d6a8776a164776c93618233a0003e8894e7e6c2,900000,900000,delegationParametersUpdateds
0x56a34b26d34bd60c33e7c58e7569e0778a9e1b87f197605f62dac7dfd3b5e796-20,20,11478636,0x7fd833cf8775e9c3524b8be925723345164964be,800000,800000,delegationParametersUpdateds
0x4473aa59d991a99683b1c5ac8613a663d0a9357019e0ef49ed30f828dcd16e34-287,287,11478710,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,500000,500000,delegationParametersUpdateds
0x1c28c338211465e2aa72e46858331fb7167b9f425728bf9b280624fd7bf5219b-86,86,11478878,0xb3e2fe4e6673709613c22c63d3d7326f3bfa15cc,1000000,1000000,delegationParametersUpdateds
0xca600220044578c1e873c2d492d61ca51ab36cf9517f767a60fcf6b9cbf5d41c-367,367,11478897,0x4437e367cc68d87675148a9e4a1f052f0359c880,1000000,1000000,delegationParametersUpdateds
0xa77889d816f5dd93e399b48361cc283638af448ae1acad3ebec663078d2e55bb-170,170,11478986,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,800000,800000,delegationParametersUpdateds
0x13acffb1c350d6f1813dc35610b735629b31191c04ddf9094dd1e68b888f7e4e-48,48,11478988,0x48b5687f0595e2a4d581dc72305fbae214345d07,1000000,1000000,delegationParametersUpdateds
0x79b9263df5e3cafd2bad5e7b9a1824e16eb86aef2dbeb87bf14ca16da3634671-291,291,11479135,0xd7205e8054a6778e383d9afde80fd702db41c7fd,1000000,1000000,delegationParametersUpdateds
0xc25f245a16bb0f0cc51964733dee2f88433b94d39dd20e17d0aaaf53f247f820-196,196,11479152,0xd11e05240a50e2eedb03e72d4c9c6465bc05f2a4,1000000,1000000,delegationParametersUpdateds
0x89b22b505f28b9dfd14932ca7e1bbd89d2ffe9822297baccbbeea236a8cc38f5-271,271,11479243,0xb3e2fe4e6673709613c22c63d3d7326f3bfa15cc,900000,900000,delegationParametersUpdateds
0xa093016a0c9645a91b1056e47d0c7ade26f4080f9fec93e0784eecb0ea09a47b-44,44,11479243,0x39839abed87475422c5353256d17e08395c3af6b,900000,850000,delegationParametersUpdateds
